vmName,vSwitchName,osVHD,destPath,vCPU,memory,vmIP,vmSubnetMask,gateway,osVersion,dnsIP1,dnsIP2,vlanID
DD2HMALVPSFB02,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,32,10.245.132.35,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPOWS02,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,2,16,10.245.132.38,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPADC02,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,8,16,10.245.132.42,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVP2FA01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,2,4,10.245.132.58,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPAWH06,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,G:\Hyper-V,4,16,10.245.132.66,255.255.255.0,10.245.132.1,2012R2,10.244.133.33,,2924
DD2HMALVPAWH07,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,G:\Hyper-V,4,16,10.245.132.67,255.255.255.0,10.245.132.1,2012R2,10.244.133.33,,2924
DD2HMALVPSLW03,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,16,10.245.132.74,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPKWS01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,1,4,10.245.132.75,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALPPNBU05,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,16,10.245.132.82,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPWSU01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,2,4,10.245.132.84,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALPVSVC07,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,G:\Hyper-V,2,4,10.245.132.103,255.255.255.0,10.245.132.1,2012R2,10.244.133.33,,2924
