vmName,vSwitchName,osVHD,dataVHDSize,destPath,vCPU,memory,vmIP,vmSubnetMask,gateway,osVersion,dnsIP1,dnsIP2,vlanID
DD2HMALVPADC03,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,100,G:\Hyper-V,8,16,10.245.132.43,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPSHP01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,200,G:\Hyper-V,4,8,10.245.132.51,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPBJS01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,200,G:\Hyper-V,4,8,10.245.132.53,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPPSP03,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,200,G:\Hyper-V,4,8,10.245.132.57,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPRMS01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,100,G:\Hyper-V,4,8,10.245.132.59,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPSCO01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,100,G:\Hyper-V,4,32,10.245.132.86,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALPVSVC08,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,100,G:\Hyper-V,2,4,10.245.132.104,255.255.255.0,10.245.132.1,2012R2,10.244.133.33,,2924
DD2HMALVPSQL01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,700,G:\Hyper-V,8,32,10.245.140.21,255.255.255.0,10.245.140.1,2016,10.244.133.33,,2932
DD2HMALVPSQL03,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,700,G:\Hyper-V,8,32,10.245.140.23,255.255.255.0,10.245.140.1,2016,10.244.133.33,,2932
DD2HMALVPSRS01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,200,G:\Hyper-V,2,32,10.245.140.25,255.255.255.0,10.245.140.1,2016,10.244.133.33,,2932
,,,,,,,,,,,,,
