vmName,osFamily,osVersion,destPath,osVhd,dataDisks,ipConfig,dnsIp,memory,vCPU,machineOU,generation
DD2HMALVPADC03,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.43"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,8,,2
DD2HMALVPSHP01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.51"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD2HMALVPBJS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.53"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD2HMALVPPSP03,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.57"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD2HMALVPRMS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.59"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD2HMALVPSCO01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.86"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,4,,2
DD2HMALPVSVC08,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.104"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,2,,2
DD2HMALVPSQL01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""700"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.140.21"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.140.1"", ""vlanID"": ""2932""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,8,,2
DD2HMALVPSQL03,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""700"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.140.23"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.140.1"", ""vlanID"": ""2932""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,8,,2
DD2HMALVPSRS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.140.25"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.140.1"", ""vlanID"": ""2932""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,2,,2
